name,address,lat,lng,limited_time,open_hours,rest_days,midnight,pudding,basque,tiramisu,dessert,salty_food,café,alcohol,study,chat,photo,pet,wifi,
印象,桃園市龍潭區華南路一段127號,24.869079,121.2176986,,,,,,,,,,,,,,,,,
啡蒔 Verse Cafe by Minorcode,桃園市桃園區同德十一街45號,25.020871,121.2971338,,,,,,,,,,,,,,,,,
方亭咖啡,桃園市桃園區民生路103號,24.9923034,121.3137323,,,,,,,,,,,,,,,,,
二哈咖啡,桃園市桃園區大同路119號,24.988296,121.308992,,,,,,,,,,,,,,,,,
森林咖啡二號,"號, No. 661萬壽路二段龜山區桃園市333",24.9988415,121.3456592,1,,,,,,,,,,,,,,,,
紓咖,環中東路357號,24.9609015,121.254621,,,,,,,,,,,,,,,,,
Mr.Glasses眼鏡先生咖啡館,桃園市中壢區莊敬路811巷12號,24.9638791,121.2550963,1,,,,,,,,,,,,,,,,
木桌子咖啡,桃園市桃園區中山路847巷27號,24.988482,121.287585,,週一-週五11:00~19:30/週六-週日10:00~19:30,,,,,,,,,,,,,,,
The Good One Coffee Roaster,桃園市桃園區民有五街122號,25.008501,121.3178489,,每月其中1-2個週日公休（粉專公告）,,,,,,,,,,,,,,,
Drip Note Coffee,桃園市楊梅區新農街366號,24.9114941,121.1567022,,不定時公休，詳情請FB官網,,,,,,,,,,,,,,,
愛瑞兒,桃園市桃園區信一街27號,24.9949599,121.301493,,09:00~19:00,,,,,,,,,,,,,,,
大觀 x 小弄,桃園市中壢區環中東路708巷136號,24.9549605,121.244003,,,,,,,,,,,,,,,,,
鞠分號,桃園市桃園區慈祥街32號,25.0078608,121.3009322,,,,,,,,,,,,,,,,,
The Path Coffeehouse,桃園市中壢區中央西路二段150巷4號,24.959257,121.213784,,11:00 - 21:00,,,,,,,,,,,,,,,
BY2 COFFEE 白²咖啡,桃園市中壢區百韜二街48號,24.9438942,121.2276719,,,,,,,,,,,,,,,,,
KAHVILA CAFE,桃園區 南平路387號,25.0175212,121.2971894,,,,,,,,,,,,,,,,,
Dute coffee ＆ bar,桃園市中壢區中光路61號,24.956991,121.227051,,,,,,,,,,,,,,,,,
好野咖啡,桃園市中壢區美樂路76號,24.9525134,121.2228923,,,,,,,,,,,,,,,,,
丑咖啡 BU-SU cafe',桃園市大溪區中山路53號,24.8819685,121.2856964,,,,,,,,,,,,,,,,,
解放咖啡館,台灣桃園市大溪區中山路19號,24.8803454,121.289355,,,,,,,,,,,,,,,,,
走走咖啡,桃園市桃園區寶山街358號,25.011102,121.312096,,10:00~21:00，六、日為08:30~21:00,,,,,,,,,,,,,,,
艾提咖啡,桃園市桃園區民生路55巷20號,24.9915244,121.3137405,,,,,,,,,,,,,,,,,
37cafe,桃園市龜山區文東五街37巷37號,25.050677,121.361575,,,,,,,,,,,,,,,,,
找個地方cafe,桃園市中壢區大仁二街15號2樓之13,24.9547704,121.2425094,,,,,,,,,,,,,,,,,
卡諾咖啡生活館,330桃園市桃園區大興路200號,25.0159832,121.3124847,,,,,,,,,,,,,,,,,
胖茶壺,桃園市蘆竹區中山路22號1樓,25.0516876,121.3011904,0,,,,,,,,,,,,,,,,
咖啡沁蜜,桃園市八德區廣福路266號,24.9597159,121.292859,0,,,,,,,,,,,,,,,,
午逅咖啡,桃園市蘆竹區南崁路352號2樓,25.050769,121.2912484,0,,,,,,,,,,,,,,,,
Louisa Coffee 路易莎咖啡 (環球A8門市),333桃園市龜山區復興一路8號 (環球購物中心 桃園A8),25.060604,121.3700716,0,,,,,,,,,,,,,,,,
Z cafe 自家焙煎咖啡,桃園市中壢區新生路二段36號,24.9769766,121.2228144,,週二公休,,,,,,,,,,,,,,,
